tx_id,address,entity_type,value_btc,fee_btc,in_degree,out_degree,timestamp
tx_84,addr_277,Mixer,1.9683,0.00397,14,11,2020-01-04 11:00:00
tx_85,addr_473,Exchange,1.3424,0.00977,8,11,2020-01-04 12:00:00
tx_86,addr_123,Exchange,1.0276,0.00955,16,19,2020-01-04 13:00:00
tx_87,addr_123,Exchange,10.1821,0.00802,14,1,2020-01-04 14:00:00
tx_88,addr_70,Exchange,4.2458,0.00249,1,5,2020-01-04 15:00:00
tx_89,addr_261,Hodler,1.9532,0.00077,16,10,2020-01-04 16:00:00
tx_90,addr_458,Trader,1.685,0.00324,18,10,2020-01-04 17:00:00
tx_91,addr_100,Trader,1.9386,0.00274,7,14,2020-01-04 18:00:00
tx_92,addr_380,Exchange,0.4496,0.00511,15,2,2020-01-04 19:00:00
tx_93,addr_71,Trader,1.0055,0.0078,17,4,2020-01-04 20:00:00
tx_94,addr_433,Trader,0.0805,0.0086,19,2,2020-01-04 21:00:00
tx_95,addr_296,Exchange,1.2908,0.00846,13,18,2020-01-04 22:00:00
tx_96,addr_219,Trader,1.5663,0.00366,9,13,2020-01-04 23:00:00
tx_97,addr_242,Mixer,0.5169,0.0069,15,19,2020-01-05 00:00:00
tx_98,addr_149,Miner,6.6501,0.0032,3,5,2020-01-05 01:00:00
tx_99,addr_398,Miner,4.8038,0.0007,1,2,2020-01-05 02:00:00
tx_100,addr_347,Exchange,2.5613,0.00705,16,11,2020-01-05 03:00:00
tx_101,addr_464,Hodler,1.5245,0.0002,8,18,2020-01-05 04:00:00
tx_102,addr_338,Exchange,4.08,0.00415,13,6,2020-01-05 05:00:00
tx_103,addr_361,Hodler,0.28,0.00336,8,10,2020-01-05 06:00:00
tx_104,addr_31,Miner,3.1262,0.00696,17,17,2020-01-05 07:00:00
tx_105,addr_206,Exchange,0.2667,0.00769,14,11,2020-01-05 08:00:00
tx_106,addr_42,Mixer,3.1618,0.00311,7,19,2020-01-05 09:00:00
tx_107,addr_415,Trader,0.6453,0.00814,15,17,2020-01-05 10:00:00
tx_108,addr_272,Hodler,4.1926,0.00301,16,4,2020-01-05 11:00:00
tx_109,addr_90,Trader,5.7663,0.00452,19,14,2020-01-05 12:00:00
tx_110,addr_134,Trader,0.3222,0.0073,6,4,2020-01-05 13:00:00
tx_111,addr_122,Exchange,1.2423,0.00696,1,14,2020-01-05 14:00:00
tx_112,addr_337,Trader,7.9253,0.00987,12,4,2020-01-05 15:00:00
tx_113,addr_41,Mixer,1.321,0.00233,18,6,2020-01-05 16:00:00
tx_114,addr_219,Trader,3.9836,0.00666,16,9,2020-01-05 17:00:00
tx_115,addr_146,Exchange,1.777,0.00614,12,12,2020-01-05 18:00:00
tx_116,addr_434,Mixer,0.9411,0.00916,13,8,2020-01-05 19:00:00
tx_117,addr_205,Miner,0.6731,0.00165,8,4,2020-01-05 20:00:00
tx_118,addr_158,Trader,0.4544,0.00754,1,5,2020-01-05 21:00:00
tx_119,addr_133,Exchange,2.8693,0.00573,7,6,2020-01-05 22:00:00
tx_120,addr_55,Miner,0.9773,0.00282,15,5,2020-01-05 23:00:00
tx_121,addr_301,Miner,1.4319,0.0048,13,19,2020-01-06 00:00:00
tx_122,addr_413,Hodler,1.3558,0.0034,13,8,2020-01-06 01:00:00
tx_123,addr_464,Mixer,1.7221,0.00584,9,9,2020-01-06 02:00:00
tx_124,addr_461,Trader,4.0135,0.0089,15,15,2020-01-06 03:00:00
tx_125,addr_184,Exchange,7.8994,0.00574,4,4,2020-01-06 04:00:00
tx_126,addr_224,Hodler,1.0471,0.00635,13,9,2020-01-06 05:00:00
tx_127,addr_411,Mixer,3.5149,0.00524,12,7,2020-01-06 06:00:00
tx_128,addr_425,Hodler,2.8923,0.00061,5,8,2020-01-06 07:00:00
tx_129,addr_120,Mixer,1.7044,0.00241,7,15,2020-01-06 08:00:00
tx_130,addr_255,Mixer,6.2493,0.00497,8,19,2020-01-06 09:00:00
tx_131,addr_306,Trader,0.4475,0.00317,5,15,2020-01-06 10:00:00
tx_132,addr_458,Mixer,0.2314,0.0019,9,5,2020-01-06 11:00:00
tx_133,addr_25,Hodler,3.8478,0.00509,14,19,2020-01-06 12:00:00
tx_134,addr_309,Mixer,1.1566,0.0033,12,7,2020-01-06 13:00:00
tx_135,addr_201,Trader,3.7542,0.00266,4,6,2020-01-06 14:00:00
tx_136,addr_267,Trader,4.4715,0.00469,8,19,2020-01-06 15:00:00
tx_137,addr_217,Hodler,0.129,0.00142,17,17,2020-01-06 16:00:00
tx_138,addr_219,Miner,4.2991,0.00928,8,10,2020-01-06 17:00:00
tx_139,addr_341,Miner,1.1896,0.00869,1,19,2020-01-06 18:00:00
tx_140,addr_30,Mixer,1.4285,0.00711,2,11,2020-01-06 19:00:00
tx_141,addr_499,Exchange,1.9702,0.00115,4,15,2020-01-06 20:00:00
tx_142,addr_261,Mixer,5.2177,0.00778,1,10,2020-01-06 21:00:00
tx_143,addr_36,Hodler,0.0386,0.0081,7,11,2020-01-06 22:00:00
tx_144,addr_395,Hodler,1.2957,0.0077,1,3,2020-01-06 23:00:00
tx_145,addr_181,Hodler,2.3277,0.00123,9,3,2020-01-07 00:00:00
tx_146,addr_477,Hodler,2.5654,0.00647,3,18,2020-01-07 01:00:00
tx_147,addr_186,Hodler,2.3588,0.00836,12,11,2020-01-07 02:00:00
tx_148,addr_461,Trader,0.2887,0.00582,19,18,2020-01-07 03:00:00
tx_149,addr_247,Miner,0.7116,0.0065,15,15,2020-01-07 04:00:00
tx_150,addr_331,Hodler,0.8886,0.00464,16,7,2020-01-07 05:00:00
tx_151,addr_420,Exchange,3.2637,0.00533,10,10,2020-01-07 06:00:00
tx_152,addr_203,Exchange,0.6536,0.00044,6,10,2020-01-07 07:00:00
tx_153,addr_25,Exchange,0.4732,0.00643,17,13,2020-01-07 08:00:00
tx_154,addr_111,Exchange,6.3141,0.00091,17,15,2020-01-07 09:00:00
tx_155,addr_453,Trader,0.0178,0.00441,19,18,2020-01-07 10:00:00
tx_156,addr_438,Exchange,12.2576,0.003,18,4,2020-01-07 11:00:00
tx_157,addr_176,Hodler,2.2591,0.0055,11,17,2020-01-07 12:00:00
tx_158,addr_97,Mixer,3.526,0.00142,7,3,2020-01-07 13:00:00
tx_159,addr_498,Exchange,0.698,0.00695,10,2,2020-01-07 14:00:00
tx_160,addr_88,Trader,0.0288,0.00797,7,4,2020-01-07 15:00:00
tx_161,addr_447,Trader,2.6778,0.00172,5,1,2020-01-07 16:00:00
tx_162,addr_440,Exchange,3.5933,0.00113,12,15,2020-01-07 17:00:00
tx_163,addr_204,Mixer,2.6978,0.00154,16,1,2020-01-07 18:00:00
tx_164,addr_484,Exchange,0.3083,0.00878,18,6,2020-01-07 19:00:00
tx_165,addr_300,Trader,2.8002,0.00533,3,7,2020-01-07 20:00:00
tx_166,addr_169,Miner,2.93,0.00473,15,19,2020-01-07 21:00:00
tx_167,addr_164,Hodler,2.1491,0.00116,5,12,2020-01-07 22:00:00
tx_168,addr_312,Trader,2.9059,0.00653,13,1,2020-01-07 23:00:00
tx_169,addr_377,Exchange,3.7406,0.00869,19,7,2020-01-08 00:00:00
tx_170,addr_461,Hodler,1.9018,0.0083,12,19,2020-01-08 01:00:00
tx_171,addr_170,Exchange,0.1856,0.0063,5,13,2020-01-08 02:00:00
tx_172,addr_336,Exchange,1.3374,0.00085,6,12,2020-01-08 03:00:00
tx_173,addr_261,Miner,0.1617,0.00121,7,12,2020-01-08 04:00:00
tx_174,addr_165,Hodler,1.047,0.00059,10,13,2020-01-08 05:00:00
tx_175,addr_371,Hodler,1.0455,0.00265,16,14,2020-01-08 06:00:00
tx_176,addr_62,Miner,0.1366,0.00144,8,12,2020-01-08 07:00:00
tx_177,addr_179,Trader,0.8579,0.00267,9,12,2020-01-08 08:00:00
tx_178,addr_59,Exchange,0.2353,0.00391,4,6,2020-01-08 09:00:00
tx_179,addr_345,Mixer,3.303,0.00944,8,10,2020-01-08 10:00:00
tx_180,addr_376,Exchange,5.9011,0.00614,7,9,2020-01-08 11:00:00
tx_181,addr_424,Exchange,0.1501,0.00837,15,2,2020-01-08 12:00:00
tx_182,addr_101,Trader,6.2073,0.00713,3,7,2020-01-08 13:00:00
tx_183,addr_392,Exchange,1.4787,0.00121,17,9,2020-01-08 14:00:00
tx_184,addr_423,Miner,0.7121,0.00739,11,12,2020-01-08 15:00:00
tx_185,addr_56,Miner,0.16,0.00282,9,5,2020-01-08 16:00:00
tx_186,addr_433,Hodler,1.3888,0.00643,5,1,2020-01-08 17:00:00
tx_187,addr_175,Mixer,3.1648,0.00348,10,15,2020-01-08 18:00:00
tx_188,addr_180,Exchange,2.4558,0.00998,15,8,2020-01-08 19:00:00
tx_189,addr_321,Exchange,0.1031,0.00271,14,1,2020-01-08 20:00:00
tx_190,addr_459,Trader,0.1514,0.00286,4,18,2020-01-08 21:00:00
tx_191,addr_18,Miner,1.0313,0.00931,2,13,2020-01-08 22:00:00
tx_192,addr_75,Mixer,0.6999,0.00034,12,1,2020-01-08 23:00:00
tx_193,addr_14,Hodler,0.5289,0.007,1,5,2020-01-09 00:00:00
tx_194,addr_187,Miner,0.6598,0.00728,5,18,2020-01-09 01:00:00
tx_195,addr_21,Hodler,3.254,0.00838,6,16,2020-01-09 02:00:00
tx_196,addr_196,Trader,5.2966,0.00975,11,10,2020-01-09 03:00:00
tx_197,addr_96,Trader,1.0387,0.00976,8,4,2020-01-09 04:00:00
tx_198,addr_19,Exchange,4.7313,0.00075,7,1,2020-01-09 05:00:00
tx_199,addr_23,Mixer,0.7757,0.00824,4,8,2020-01-09 06:00:00
tx_200,addr_203,Hodler,1.2942,0.0065,6,5,2020-01-09 07:00:00
tx_201,addr_283,Miner,0.5124,0.00651,16,2,2020-01-09 08:00:00
tx_202,addr_342,Trader,2.0459,0.00137,15,17,2020-01-09 09:00:00
tx_203,addr_26,Exchange,7.7247,0.00654,14,7,2020-01-09 10:00:00
tx_204,addr_11,Exchange,1.8501,0.00983,12,17,2020-01-09 11:00:00
tx_205,addr_137,Hodler,0.8858,0.00913,12,6,2020-01-09 12:00:00
tx_206,addr_264,Trader,2.0872,0.00445,16,15,2020-01-09 13:00:00
tx_207,addr_410,Mixer,0.2623,0.0005,15,5,2020-01-09 14:00:00
tx_208,addr_248,Trader,4.3903,0.00369,13,15,2020-01-09 15:00:00
tx_209,addr_62,Hodler,1.3987,0.00828,11,18,2020-01-09 16:00:00
tx_210,addr_245,Hodler,1.1933,0.00704,17,18,2020-01-09 17:00:00
tx_211,addr_47,Trader,1.7631,0.00465,15,6,2020-01-09 18:00:00
tx_212,addr_191,Hodler,1.9605,0.00065,14,2,2020-01-09 19:00:00
tx_213,addr_249,Trader,0.149,0.00433,10,17,2020-01-09 20:00:00
tx_214,addr_239,Miner,2.2953,0.00474,12,4,2020-01-09 21:00:00
tx_215,addr_156,Trader,0.554,0.00929,16,12,2020-01-09 22:00:00
tx_216,addr_339,Trader,2.5032,0.00645,15,19,2020-01-09 23:00:00
tx_217,addr_445,Hodler,3.458,0.00319,10,2,2020-01-10 00:00:00
tx_218,addr_232,Hodler,3.2589,0.0053,4,2,2020-01-10 01:00:00
tx_219,addr_478,Exchange,1.6082,0.00075,9,14,2020-01-10 02:00:00
tx_220,addr_375,Exchange,1.4686,0.00973,9,15,2020-01-10 03:00:00
tx_221,addr_299,Miner,0.3083,0.00366,11,2,2020-01-10 04:00:00
tx_222,addr_411,Exchange,2.9864,0.00483,11,4,2020-01-10 05:00:00
tx_223,addr_372,Trader,0.6333,0.00362,7,19,2020-01-10 06:00:00
tx_224,addr_245,Hodler,1.3731,0.00686,10,9,2020-01-10 07:00:00
tx_225,addr_72,Exchange,0.6689,0.00666,4,7,2020-01-10 08:00:00
tx_226,addr_72,Exchange,0.2873,0.00718,5,13,2020-01-10 09:00:00
tx_227,addr_61,Miner,1.9861,0.00275,5,12,2020-01-10 10:00:00
tx_228,addr_85,Miner,0.1117,0.00323,11,3,2020-01-10 11:00:00
tx_229,addr_126,Trader,2.7618,0.00134,9,13,2020-01-10 12:00:00
tx_230,addr_343,Hodler,0.7642,0.00659,16,15,2020-01-10 13:00:00
tx_231,addr_153,Miner,0.0003,0.00049,9,14,2020-01-10 14:00:00
tx_232,addr_175,Exchange,1.4313,0.00602,4,9,2020-01-10 15:00:00
tx_233,addr_180,Hodler,0.096,0.00871,2,13,2020-01-10 16:00:00
tx_234,addr_103,Hodler,0.6464,0.00892,14,4,2020-01-10 17:00:00
tx_235,addr_209,Exchange,2.455,0.00455,3,8,2020-01-10 18:00:00
tx_236,addr_62,Miner,0.1295,0.00465,18,3,2020-01-10 19:00:00
tx_237,addr_500,Exchange,3.6569,0.00086,6,2,2020-01-10 20:00:00
tx_238,addr_374,Hodler,0.0077,0.00674,11,19,2020-01-10 21:00:00
tx_239,addr_315,Mixer,0.5669,0.00823,18,8,2020-01-10 22:00:00
tx_240,addr_164,Mixer,2.7011,0.00252,12,17,2020-01-10 23:00:00
tx_241,addr_283,Trader,0.7604,0.00427,5,13,2020-01-11 00:00:00
tx_242,addr_186,Exchange,0.2149,0.0084,9,7,2020-01-11 01:00:00
tx_243,addr_470,Exchange,0.8933,0.00878,18,9,2020-01-11 02:00:00
tx_244,addr_408,Trader,0.6305,0.00251,19,12,2020-01-11 03:00:00
tx_245,addr_500,Trader,3.6994,0.00555,3,14,2020-01-11 04:00:00
tx_246,addr_39,Trader,0.7519,0.00201,9,14,2020-01-11 05:00:00
tx_247,addr_478,Hodler,3.1112,0.00111,4,15,2020-01-11 06:00:00
tx_248,addr_410,Exchange,4.4489,0.00912,17,3,2020-01-11 07:00:00
tx_249,addr_391,Hodler,1.1377,0.00822,17,15,2020-01-11 08:00:00
tx_250,addr_22,Trader,4.8146,0.00762,2,19,2020-01-11 09:00:00
tx_251,addr_149,Exchange,0.9474,0.00058,9,14,2020-01-11 10:00:00
tx_252,addr_217,Hodler,6.6528,0.00845,9,8,2020-01-11 11:00:00
tx_253,addr_376,Hodler,0.1871,0.00444,5,5,2020-01-11 12:00:00
tx_254,addr_276,Trader,2.3232,0.00349,15,19,2020-01-11 13:00:00
tx_255,addr_219,Exchange,1.3617,0.00551,15,4,2020-01-11 14:00:00
tx_256,addr_294,Trader,0.9809,0.001,3,14,2020-01-11 15:00:00
tx_257,addr_300,Exchange,2.0032,0.00759,19,16,2020-01-11 16:00:00
tx_258,addr_47,Mixer,2.4338,0.00587,3,6,2020-01-11 17:00:00
tx_259,addr_235,Miner,0.0087,0.00195,6,6,2020-01-11 18:00:00
tx_260,addr_175,Miner,0.3653,0.00196,4,3,2020-01-11 19:00:00
tx_261,addr_74,Miner,2.4969,0.00192,13,15,2020-01-11 20:00:00
tx_262,addr_225,Trader,2.1955,0.00066,13,3,2020-01-11 21:00:00
tx_263,addr_392,Mixer,6.7656,0.00592,11,11,2020-01-11 22:00:00
tx_264,addr_478,Exchange,2.8629,0.00842,5,3,2020-01-11 23:00:00
tx_265,addr_459,Hodler,6.0226,0.00027,1,10,2020-01-12 00:00:00
tx_266,addr_81,Exchange,2.425,0.00059,9,18,2020-01-12 01:00:00
tx_267,addr_470,Hodler,0.7078,0.00577,17,1,2020-01-12 02:00:00
tx_268,addr_442,Exchange,0.2227,0.00821,1,16,2020-01-12 03:00:00
tx_269,addr_13,Mixer,3.0449,0.00333,3,16,2020-01-12 04:00:00
tx_270,addr_331,Hodler,2.0665,0.00356,15,10,2020-01-12 05:00:00
tx_271,addr_126,Trader,0.0988,0.006,10,1,2020-01-12 06:00:00
tx_272,addr_499,Exchange,0.8927,0.00281,8,4,2020-01-12 07:00:00
tx_273,addr_428,Exchange,6.2838,0.00036,12,3,2020-01-12 08:00:00
tx_274,addr_343,Hodler,1.3879,0.00738,15,5,2020-01-12 09:00:00
tx_275,addr_293,Trader,1.1338,0.00629,9,12,2020-01-12 10:00:00
tx_276,addr_269,Trader,1.2239,0.00585,10,12,2020-01-12 11:00:00
tx_277,addr_156,Mixer,0.4686,0.00744,9,13,2020-01-12 12:00:00
tx_278,addr_172,Trader,0.92,0.00678,15,12,2020-01-12 13:00:00
tx_279,addr_174,Trader,0.9235,0.00214,1,16,2020-01-12 14:00:00
tx_280,addr_312,Trader,0.1076,0.00359,2,13,2020-01-12 15:00:00
tx_281,addr_348,Miner,2.9183,0.00135,19,5,2020-01-12 16:00:00
tx_282,addr_161,Mixer,1.0774,0.00139,14,4,2020-01-12 17:00:00
tx_283,addr_368,Exchange,3.454,0.00679,8,15,2020-01-12 18:00:00
tx_284,addr_109,Hodler,3.7989,0.0086,6,12,2020-01-12 19:00:00
tx_285,addr_174,Exchange,0.4765,0.00963,12,19,2020-01-12 20:00:00
tx_286,addr_163,Mixer,2.1421,0.00632,15,19,2020-01-12 21:00:00
tx_287,addr_230,Hodler,1.2784,0.00192,14,11,2020-01-12 22:00:00
tx_288,addr_434,Mixer,4.2431,0.00115,1,6,2020-01-12 23:00:00
tx_289,addr_16,Trader,0.486,0.00815,11,9,2020-01-13 00:00:00
tx_290,addr_139,Hodler,2.2652,0.00583,3,1,2020-01-13 01:00:00
tx_291,addr_301,Trader,1.8717,0.00622,19,12,2020-01-13 02:00:00
tx_292,addr_343,Exchange,0.7,0.00784,18,14,2020-01-13 03:00:00
tx_293,addr_319,Exchange,0.2938,0.00706,2,6,2020-01-13 04:00:00
tx_294,addr_82,Hodler,2.109,0.00836,7,1,2020-01-13 05:00:00
tx_295,addr_158,Hodler,2.6834,0.00066,8,2,2020-01-13 06:00:00
tx_296,addr_345,Mixer,0.7585,0.0075,19,11,2020-01-13 07:00:00
tx_297,addr_168,Mixer,2.0703,0.00852,15,3,2020-01-13 08:00:00
tx_298,addr_137,Trader,1.0055,0.00293,10,10,2020-01-13 09:00:00
tx_299,addr_277,Hodler,2.498,0.00644,1,6,2020-01-13 10:00:00
tx_300,addr_69,Exchange,0.4443,0.00321,6,6,2020-01-13 11:00:00
tx_301,addr_121,Mixer,4.4185,0.00958,13,2,2020-01-13 12:00:00
tx_302,addr_144,Mixer,0.6777,0.00043,14,10,2020-01-13 13:00:00
tx_303,addr_475,Exchange,0.9171,0.00584,3,6,2020-01-13 14:00:00
tx_304,addr_179,Mixer,0.1197,0.00175,11,17,2020-01-13 15:00:00
tx_305,addr_360,Trader,0.2365,0.00715,3,14,2020-01-13 16:00:00
tx_306,addr_12,Hodler,1.4508,0.00184,19,5,2020-01-13 17:00:00
tx_307,addr_383,Exchange,0.6228,0.00243,10,17,2020-01-13 18:00:00
tx_308,addr_329,Hodler,3.6094,0.00499,15,2,2020-01-13 19:00:00
tx_309,addr_253,Mixer,0.0296,0.00916,11,9,2020-01-13 20:00:00
tx_310,addr_311,Mixer,0.9532,0.0022,15,12,2020-01-13 21:00:00
tx_311,addr_202,Exchange,0.823,0.00153,13,19,2020-01-13 22:00:00
tx_312,addr_417,Trader,0.039,0.00761,5,7,2020-01-13 23:00:00
tx_313,addr_417,Miner,0.2656,0.00506,4,9,2020-01-14 00:00:00
tx_314,addr_314,Exchange,1.0677,0.00913,13,16,2020-01-14 01:00:00
tx_315,addr_316,Miner,1.358,0.00155,9,11,2020-01-14 02:00:00
tx_316,addr_196,Miner,1.036,0.00649,17,12,2020-01-14 03:00:00
tx_317,addr_487,Trader,1.514,0.00241,2,15,2020-01-14 04:00:00
tx_318,addr_52,Miner,1.8084,0.00165,5,18,2020-01-14 05:00:00
tx_319,addr_262,Miner,0.0199,0.00687,16,19,2020-01-14 06:00:00
tx_320,addr_89,Trader,1.2476,0.00598,7,16,2020-01-14 07:00:00
tx_321,addr_244,Miner,6.6208,0.00757,1,15,2020-01-14 08:00:00
tx_322,addr_343,Miner,1.4639,0.00316,12,5,2020-01-14 09:00:00
tx_323,addr_464,Miner,2.2636,0.00453,11,11,2020-01-14 10:00:00
tx_324,addr_188,Exchange,0.7475,0.00411,12,15,2020-01-14 11:00:00
tx_325,addr_373,Exchange,2.9744,0.00984,19,18,2020-01-14 12:00:00
tx_326,addr_414,Exchange,2.9649,0.00299,12,13,2020-01-14 13:00:00
tx_327,addr_365,Trader,1.4733,0.00302,12,4,2020-01-14 14:00:00
tx_328,addr_112,Mixer,7.4606,0.00361,14,17,2020-01-14 15:00:00
tx_329,addr_468,Miner,0.2683,0.00569,2,4,2020-01-14 16:00:00
tx_330,addr_129,Miner,0.0342,0.0026,2,16,2020-01-14 17:00:00
tx_331,addr_477,Trader,2.9407,0.00916,4,15,2020-01-14 18:00:00
tx_332,addr_260,Miner,3.2917,0.00273,16,14,2020-01-14 19:00:00
tx_333,addr_437,Exchange,0.2561,0.00897,10,12,2020-01-14 20:00:00
tx_334,addr_362,Mixer,0.6174,0.00112,13,3,2020-01-14 21:00:00
tx_335,addr_70,Hodler,0.0354,0.0066,2,10,2020-01-14 22:00:00
